area_name,indicator,date,measure,unit,value,group
Trafford,Google community mobility trends,2020-03-19,Percentage change from baseline,Visits and length of stay,-0.23,Retail & recreation
Trafford,Google community mobility trends,2020-03-19,Percentage change from baseline,Visits and length of stay,0.33,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-19,Percentage change from baseline,Visits and length of stay,-0.18,Parks*
Trafford,Google community mobility trends,2020-03-20,Percentage change from baseline,Visits and length of stay,-0.37,Retail & recreation
Trafford,Google community mobility trends,2020-03-20,Percentage change from baseline,Visits and length of stay,0.13,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-20,Percentage change from baseline,Visits and length of stay,-0.11,Parks*
Trafford,Google community mobility trends,2020-03-21,Percentage change from baseline,Visits and length of stay,-0.61,Retail & recreation
Trafford,Google community mobility trends,2020-03-21,Percentage change from baseline,Visits and length of stay,0.01,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-21,Percentage change from baseline,Visits and length of stay,-0.41,Parks*
Trafford,Google community mobility trends,2020-03-22,Percentage change from baseline,Visits and length of stay,-0.67,Retail & recreation
Trafford,Google community mobility trends,2020-03-22,Percentage change from baseline,Visits and length of stay,-0.17,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-22,Percentage change from baseline,Visits and length of stay,-0.33,Parks*
Trafford,Google community mobility trends,2020-03-23,Percentage change from baseline,Visits and length of stay,-0.52,Retail & recreation
Trafford,Google community mobility trends,2020-03-23,Percentage change from baseline,Visits and length of stay,-0.1,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-23,Percentage change from baseline,Visits and length of stay,-0.32,Parks*
Trafford,Google community mobility trends,2020-03-24,Percentage change from baseline,Visits and length of stay,-0.73,Retail & recreation
Trafford,Google community mobility trends,2020-03-24,Percentage change from baseline,Visits and length of stay,-0.27,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-24,Percentage change from baseline,Visits and length of stay,-0.41,Parks*
Trafford,Google community mobility trends,2020-03-25,Percentage change from baseline,Visits and length of stay,-0.77,Retail & recreation
Trafford,Google community mobility trends,2020-03-25,Percentage change from baseline,Visits and length of stay,-0.27,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-25,Percentage change from baseline,Visits and length of stay,-0.43,Parks*
Trafford,Google community mobility trends,2020-03-26,Percentage change from baseline,Visits and length of stay,-0.76,Retail & recreation
Trafford,Google community mobility trends,2020-03-26,Percentage change from baseline,Visits and length of stay,-0.28,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-26,Percentage change from baseline,Visits and length of stay,-0.4,Parks*
Trafford,Google community mobility trends,2020-03-27,Percentage change from baseline,Visits and length of stay,-0.79,Retail & recreation
Trafford,Google community mobility trends,2020-03-27,Percentage change from baseline,Visits and length of stay,-0.3,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-27,Percentage change from baseline,Visits and length of stay,-0.47,Parks*
Trafford,Google community mobility trends,2020-03-28,Percentage change from baseline,Visits and length of stay,-0.87,Retail & recreation
Trafford,Google community mobility trends,2020-03-28,Percentage change from baseline,Visits and length of stay,-0.4,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-28,Percentage change from baseline,Visits and length of stay,-0.74,Parks*
Trafford,Google community mobility trends,2020-03-29,Percentage change from baseline,Visits and length of stay,-0.88,Retail & recreation
Trafford,Google community mobility trends,2020-03-29,Percentage change from baseline,Visits and length of stay,-0.47,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-29,Percentage change from baseline,Visits and length of stay,-0.67,Parks*
Trafford,Google community mobility trends,2020-03-30,Percentage change from baseline,Visits and length of stay,-0.77,Retail & recreation
Trafford,Google community mobility trends,2020-03-30,Percentage change from baseline,Visits and length of stay,-0.35,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-03-30,Percentage change from baseline,Visits and length of stay,-0.51,Parks*
